group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	5	post	-4.035806247166224	-4.893214439859196	-3.583184086546606	-3.703845277124522	-3.857341630118234	-3.703562780302398	0.45888809221131466	66
ACA	5	pre	-4.364605232160919	-4.834229503359113	-3.568708458725287	-3.7039947704393037	-4.105525260068932	-3.700284028539852	0.5179256249447258	67
ACA	5	post	-4.142466486716757	-4.777752642728844	-3.6096761080683493	-3.7049737852446887	-3.8572665623256137	-3.703490432427854	0.45486204964773996	67
ACA	5	pre	-4.417376114397633	-4.930908748081752	-3.612882526553407	-3.7551370542876574	-4.2644601062852505	-3.8500315121241977	0.554351349266208	68
ACA	5	post	-4.012591532298496	-4.877804104162722	-3.6134117476794185	-3.70401026278126	-3.805931125368391	-3.6521735872541154	0.45898986227658334	68
ACA	5	pre	-4.311368927663686	-4.834263840500189	-3.59157657623291	-3.7548332506296584	-4.104940774489423	-3.700114274511532	0.5126710193497794	69
ACA	5	post	-3.915829668239671	-4.936502490724836	-3.6074987041706943	-3.704182347472833	-3.75508366798868	-3.6505513872419084	0.4456153043678829	69
ACA	5	pre	-4.383234218675263	-4.876369096794907	-3.5778465076368686	-3.806026332232417	-4.1097540271525475	-3.740679779831244	0.5183805044816465	70
ACA	5	post	-4.033548744357362	-4.935868263244629	-3.58333674742251	-3.7041191519523156	-3.7552132703820056	-3.702091854445788	0.47061657905578613	70
ACA	5	pre	-4.30905582466904	-4.88557870047433	-3.614407549099046	-3.755197593144008	-4.161831962819003	-3.8541639872959683	0.5341310628822872	71
ACA	5	post	-4.089865037373134	-4.776163062270807	-3.6113887125132034	-3.7550647307415397	-3.754256151160415	-3.6490333420889716	0.4568626454898289	71
ACA	5	pre	-4.497222087821182	-4.981652902097118	-3.578928164073399	-3.7549287445691166	-4.259363427454112	-3.8043468241788903	0.550755579860843	72
ACA	5	post	-4.079041442092584	-4.877384127402792	-3.5908847682330074	-3.704102613488022	-3.8555236543927873	-3.651968693246647	0.4586642202065916	72
RSC	2	pre	-4.529809669572479	-4.774721067778918	-3.7904191941631082	-3.8573869296482632	-4.437241583454366	-4.362676824842181	0.5499508222755121	73
RSC	2	post	-3.8160057797723885	-4.9913378443036756	-3.5967896325247626	-3.7040890576888104	-3.9064580518372205	-3.6437589684311225	0.4432777263680283	73
RSC	2	pre	-4.002453940255301	-4.974811315536499	-3.572774215620391	-3.7040708843542607	-3.955826136530662	-3.6884526038656427	0.4716645126440087	74
RSC	2	post	-3.814405465612606	-4.987180904466278	-3.5627616181665536	-3.755377399678133	-3.755010196140834	-3.6403714394082827	0.47587899225098745	74
RSC	2	pre	-4.356365695291636	-4.981294554107043	-3.578303264111889	-3.7552153918207907	-4.107648294799182	-3.6503750548070792	0.5447577870621974	75
RSC	2	post	-4.1998258853445245	-4.9807814773248165	-3.5744896324313418	-3.7039589200701033	-3.9081564874065164	-3.649885829614133	0.48327746804879634	75
RSC	2	pre	-4.3649888914458606	-5.113275868552072	-3.581288376633002	-4.214255264827184	-4.185044181590177	-3.7376114494946537	0.586370759472555	76
RSC	2	post	-4.058300991447604	-5.0423073282047195	-3.5953285548151754	-3.755174374093815	-3.806166678058858	-3.649498365363296	0.5055329361740424	76
RSC	2	pre	-4.067267544415532	-4.878491109731246	-3.597615519348456	-3.7042098629231357	-3.7550951218118476	-3.652310322742073	0.48363084452492855	77
RSC	2	post	-3.8954631455090585	-4.9926559487167665	-3.566513416718464	-3.704114174356266	-3.8064630420840517	-3.6492052370188186	0.45082961661475046	77
RSC	2	pre	-3.8318051610674178	-4.934866087777274	-3.5694954881862717	-3.7040359730623207	-3.90823642575011	-3.696208141287979	0.4300541579723358	78
RSC	2	post	-3.831589727985616	-4.877978908772372	-3.563219707839343	-3.7040519325100645	-3.8061658071011912	-3.647627256354507	0.46827336294310434	78
RSC	2	pre	-3.9504534662986286	-5.027339789332176	-3.5733678146284458	-3.806253657049062	-3.8062384712452793	-3.686219731155707	0.46736425161361694	79
RSC	2	post	-3.798661008173106	-4.948483092444284	-3.596301399931616	-3.7042277297195123	-3.7550851860824896	-3.6434700051132514	0.47957142640133293	79
RSC	2	pre	-4.237446171896798	-4.9865043698524945	-3.5705642018999373	-3.7551829766254037	-4.162981305803571	-3.696785070458237	0.5278253202535668	80
RSC	2	post	-3.960030322172204	-4.994263658718187	-3.5762730812539862	-3.7042630205349045	-3.7554410817671795	-3.652004757706	0.5073397378532254	80
RSC	2	pre	-4.498539223962901	-5.034548433459535	-3.589297625483299	-3.80621684813986	-4.183548382350377	-3.7493085666578643	0.5994958865399264	81
RSC	2	post	-4.181378174801262	-4.877538603179309	-3.57965594895032	-3.704136780330113	-3.905477776819346	-3.6925063960406246	0.49012739682684137	81
RSC	2	pre	-4.259541204997472	-5.082465366441376	-3.5760658419862086	-3.755024802928068	-4.00930827004569	-3.640771097066451	0.5300133210055682	82
RSC	2	post	-3.96796144757952	-4.939834151949201	-3.5683906078338623	-3.755226719136141	-4.009894103420024	-3.694109327939092	0.4785185541425433	82
