	eta_DMN	group	n_subj	prepost
399	-3.992518950481804	RSC	11	post
400	-4.358519408167625	RSC	11	pre
401	-3.920263042255324	RSC	11	post
402	-4.3533824949848405	RSC	11	pre
403	-3.93730776650565	RSC	11	post
404	-4.208572582322724	RSC	11	pre
405	-3.8005468407455756	RSC	11	post
406	-4.270918053023669	RSC	11	pre
407	-3.95998106197435	RSC	11	post
408	-4.444668108103227	RSC	11	pre
409	-3.9467784725889867	RSC	11	post
410	-4.288524150848389	RSC	11	pre
411	-3.911652457957365	RSC	11	post
412	-4.121905755023567	RSC	11	pre
413	-3.8130736448326887	RSC	11	post
414	-4.315010552503624	RSC	11	pre
415	-3.9160209383283346	RSC	11	post
416	-4.103779024007369	RSC	11	pre
417	-3.8637868676866804	RSC	11	post
418	-4.302739337998993	RSC	11	pre
419	-3.8798786231449673	RSC	11	post
420	-4.304015441816681	RSC	11	pre
421	-3.9185983015566457	RSC	11	post
422	-4.314347403390067	RSC	11	pre
423	-3.854623852943887	RSC	11	post
424	-4.3736353845012435	RSC	11	pre
425	-3.9397788728986467	RSC	11	post
426	-4.349581222144925	RSC	11	pre
427	-3.918644632611956	RSC	11	post
428	-4.417619315945372	RSC	12	pre
429	-3.961037032458247	RSC	12	post
430	-4.312406539916992	RSC	12	pre
431	-3.8842991420200894	RSC	12	post
432	-4.210635263092664	RSC	12	pre
433	-3.9010947091238837	RSC	12	post
434	-4.102758378398661	RSC	12	pre
435	-3.871227940734552	RSC	12	post
436	-4.369004590170724	RSC	12	pre
437	-3.9360861389004453	RSC	12	post
438	-4.344518277109886	RSC	12	pre
439	-3.864445180309062	RSC	12	post
440	-4.311901841844831	RSC	12	pre
441	-3.890096649831655	RSC	12	post
442	-4.317481177193778	RSC	12	pre
443	-3.9176524415308114	RSC	12	post
444	-4.168145131091682	RSC	12	pre
445	-3.8516481068669535	RSC	12	post
446	-4.332088334219796	RSC	12	pre
447	-3.935159128539416	RSC	12	post
448	-4.279159988675799	RSC	12	pre
449	-3.923152276447841	RSC	12	post
450	-4.349529947553362	RSC	12	pre
451	-3.8175682826918	RSC	12	post
452	-4.142277201827691	RSC	12	pre
453	-3.885173174799705	RSC	12	post
454	-4.336012655374955	RSC	12	pre
455	-3.898351659580153	RSC	12	post
456	-4.220134053911481	RSC	12	pre
457	-3.866658891950335	RSC	12	post
458	-4.284508817049922	RSC	12	pre
459	-3.9580701419285367	RSC	12	post
460	-4.273063932146345	RSC	12	pre
461	-3.978733267102923	RSC	12	post
462	-4.353919807745486	RSC	12	pre
463	-3.9586181154056472	RSC	12	post
464	-4.189935173307147	RSC	12	pre
465	-3.9181934570779604	RSC	12	post
466	-4.235316237624811	RSC	12	pre
467	-3.887205532618931	RSC	12	post
468	-4.316141332898821	RSC	13	pre
469	-3.9212558804726116	RSC	13	post
470	-4.316480694984903	RSC	13	pre
471	-3.945532866886684	RSC	13	post
472	-4.326634270804269	RSC	13	pre
473	-3.886596913240394	RSC	13	post
474	-4.299172128949847	RSC	13	pre
475	-3.904909698330626	RSC	13	post
476	-4.231074892744726	RSC	13	pre
477	-3.996914649496273	RSC	13	post
478	-4.337920257023402	RSC	13	pre
479	-3.9322968015865403	RSC	13	post
480	-4.172766802262287	RSC	13	pre
481	-3.916449245141477	RSC	13	post
482	-4.281199031946611	RSC	13	pre
483	-3.912562457882628	RSC	13	post
484	-4.305419513157436	RSC	13	pre
485	-3.8547735700801926	RSC	13	post
486	-4.230734362894175	RSC	13	pre
487	-3.8744471900317135	RSC	13	post
488	-4.280407243845414	RSC	13	pre
489	-3.920219139176972	RSC	13	post
490	-4.2245714275204405	RSC	13	pre
491	-3.9155151503426686	RSC	13	post
492	-4.2639703993894615	RSC	13	pre
493	-3.9001669883728027	RSC	13	post
494	-4.297097342354911	RSC	13	pre
495	-3.916055051647887	RSC	13	post
496	-4.214486890909623	RSC	14	pre
497	-3.9048480014411773	RSC	14	post
